LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete
Vaibhav Vyapaar Private Limited (VVPL),,Portfolio – 1,11.92,2025-10-31,2026-01-14 06:26:18,Completed
Vaibhav Vyapaar Private Limited (VVPL),,Portfolio – 2,3.75,2025-10-31,2026-01-14 06:26:18,Completed
ADJ Utility Apps Private Limited,,Partner 1,36.63,2025-12-31,2026-01-14 06:27:45,Completed
ADJ Utility Apps Private Limited,,Partner 2,120.94,2025-12-31,2026-01-14 06:27:45,Completed
ADJ Utility Apps Private Limited,,Partner 3,292.27,2025-12-31,2026-01-14 06:27:45,Completed
ADJ Utility Apps Private Limited,,Partner 4,3.93,2025-12-31,2026-01-14 06:27:45,Completed
ADJ Utility Apps Private Limited,,Partner 5,66.63,2025-12-31,2026-01-14 06:27:45,Completed
ADJ Utility Apps Private Limited,,Partner 6,113.09,2025-12-31,2026-01-14 06:27:45,Completed
ADJ Utility Apps Private Limited,,Partner 7,42.31,2025-12-31,2026-01-14 06:27:45,Completed
ADJ Utility Apps Private Limited,,Partner 8,79.15,2025-12-31,2026-01-14 06:27:45,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 1,16.82,2025-12-31,2026-01-14 06:27:45,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 2,179.35,2025-12-31,2026-01-14 06:27:45,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 3,88.56,2025-12-31,2026-01-14 06:27:45,Completed
CRED,A,A1,98.33,2025-12-31,2026-01-14 06:27:50,Completed
CRED,A,A2,71.73,2025-12-31,2026-01-14 06:27:50,Completed
CRED,A,A3,77.09,2025-12-31,2026-01-14 06:27:50,Completed
CRED,A,A4,111.91,2025-12-31,2026-01-14 06:27:50,Completed
CRED,A,A5,203.46,2025-12-31,2026-01-14 06:27:50,Completed
CRED,A,A6,196.54,2025-12-31,2026-01-14 06:27:50,Completed
CRED,A,A7,253.24,2025-12-31,2026-01-14 06:27:50,Completed
CRED,A,A8,346.64,2025-12-31,2026-01-14 06:27:50,Completed
CRED,A,A9,371.83,2025-12-31,2026-01-14 06:27:50,Completed
CRED,A,A10,465.65,2025-12-31,2026-01-14 06:27:50,Completed
CRED,A,A11,736.29,2025-12-31,2026-01-14 06:27:50,Completed
CRED,A,A12,979.55,2025-12-31,2026-01-14 06:27:50,Completed
CRED,B,B1,36.57,2025-12-31,2026-01-14 06:27:50,Completed
CRED,C,C1.1,309.96,2025-12-31,2026-01-14 06:27:50,Completed
CRED,C,C2.1,68.64,2025-12-31,2026-01-14 06:27:50,Completed
CRED,C,C2.2,468.67,2025-12-31,2026-01-14 06:27:50,Completed
Fingel Management Services Pvt. Ltd.,,Portfolio - 1,0.05,2023-06-30,2026-01-14 06:27:51,Completed
Flexi Payment,Portfolio 1,Portfolio 1,19.97,2025-05-31,2026-01-14 06:27:56,Completed
Flexi Payment,Portfolio 2,Portfolio 2,3.96,2025-05-31,2026-01-14 06:27:56,Completed
Flexi Payment,Portfolio 3,Portfolio 3,1.06,2025-05-31,2026-01-14 06:27:56,Completed
Flexi Payment,Portfolio 4,Portfolio 4,0.31,2025-05-31,2026-01-14 06:27:56,Completed
Flexi Payment,Portfolio 5,Portfolio 5,0.21,2025-05-31,2026-01-14 06:27:56,Completed
Flexi Payment,Portfolio 6,Portfolio 6,0.82,2025-05-31,2026-01-14 06:27:56,Completed
Flexi Payment,Portfolio 7,Portfolio 7,0.59,2025-05-31,2026-01-14 06:27:56,Completed
GetVantage Tech Private Limited,,1,0.39,2025-10-31,2026-01-14 06:27:56,Completed
Groww Credit,Portfolio A1,Portfolio A1,13.16,2025-12-31,2026-01-14 06:27:57,Completed
Kissht,1,Portfolio 1,167.87,2025-12-31,2026-01-14 06:27:57,Completed
Kissht,2,Portfolio 1,78.58,2025-12-31,2026-01-14 06:27:57,Completed
Kissht,,Portfolio 2,180.47,2025-12-31,2026-01-14 06:27:57,Completed
Kissht,,Portfolio 3,384.21,2025-12-31,2026-01-14 06:27:57,Completed
Kissht,3,Portfolio 1,137.33,2025-12-31,2026-01-14 06:27:57,Completed
Kissht,,Portfolio 2,379.85,2025-12-31,2026-01-14 06:27:57,Completed
Kissht,4,Portfolio 1,0.37,2025-12-31,2026-01-14 06:27:57,Completed
KrazyBee Services Limited,,Portfolio- 1,1396.76,2025-12-31,2026-01-14 06:27:58,Completed
KrazyBee Services Limited,,Portfolio- 2,5006.15,2025-12-31,2026-01-14 06:27:58,Completed
KrazyBee Services Limited,,Portfolio- 3,1769.54,2025-12-31,2026-01-14 06:27:58,Completed
KrazyBee Services Limited,,Portfolio- 4,3640.28,2025-12-31,2026-01-14 06:27:58,Completed
KrazyBee Services Limited,,Portfolio- 5,1591.03,2025-12-31,2026-01-14 06:27:58,Completed
KrazyBee Services Limited,,Portfolio- 6,1507.95,2025-12-31,2026-01-14 06:27:58,Completed
KrazyBee Services Limited,,Portfolio- 7,967.54,2025-12-31,2026-01-14 06:27:58,Completed
KrazyBee Services Limited,,Portfolio- 8,933.64,2025-12-31,2026-01-14 06:27:58,Completed
KrazyBee Services Limited,,Portfolio- 9,337.13,2025-12-31,2026-01-14 06:27:58,Completed
MyShubhLife,,Portfolio 1,14.9,2024-03-31,2026-01-14 06:27:59,Completed
MyShubhLife,,Portfolio 2,16.96,2024-03-31,2026-01-14 06:27:59,Completed
Navi Finserv,,1,,2025-05-31,2026-01-14 06:28:00,Partial
Navi Finserv,,3,,2025-05-31,2026-01-14 06:28:00,Partial
OkCredit,,1,50.4,2025-01-01,2026-01-14 06:28:01,Completed
OkCredit,,2,34.6,2025-01-01,2026-01-14 06:28:01,Completed
OkCredit,,3,33.2,2025-01-01,2026-01-14 06:28:01,Completed
OkCredit,,4*,4.6,2025-01-01,2026-01-14 06:28:01,Completed
OnEMI Technlology Solutions Limited,1,Portfolio 1,167.87,2025-12-31,2026-01-14 06:28:01,Completed
OnEMI Technlology Solutions Limited,2,Portfolio 1,78.58,2025-12-31,2026-01-14 06:28:01,Completed
OnEMI Technlology Solutions Limited,,Portfolio 2,180.47,2025-12-31,2026-01-14 06:28:01,Completed
OnEMI Technlology Solutions Limited,,Portfolio 3,384.21,2025-12-31,2026-01-14 06:28:01,Completed
OnEMI Technlology Solutions Limited,3,Portfolio 1,137.33,2025-12-31,2026-01-14 06:28:01,Completed
OnEMI Technlology Solutions Limited,,Portfolio 2,379.85,2025-12-31,2026-01-14 06:28:01,Completed
OnEMI Technlology Solutions Limited,4,Portfolio 1,0.37,2025-12-31,2026-01-14 06:28:01,Completed
OnionLife Private Limited,,Portfolio 1,18.28,2025-12-31,2026-01-14 06:28:02,Completed
OnionLife Private Limited,,Portfolio 2,8.08,2025-12-31,2026-01-14 06:28:02,Completed
OnionLife Private Limited,,Portfolio 3,7.88,2025-12-31,2026-01-14 06:28:02,Completed
OnionLife Private Limited,,Portfolio 4,5.54,2025-12-31,2026-01-14 06:28:02,Completed
OnionLife Private Limited,,Portfolio 5,2.31,2025-12-31,2026-01-14 06:28:02,Completed
OnionLife Private Limited,,Portfolio 6,2.23,2025-12-31,2026-01-14 06:28:02,Completed
OnionLife Private Limited,,Portfolio 7,1.84,2025-12-31,2026-01-14 06:28:02,Completed
OnionLife Private Limited,,Portfolio 8,1.67,2025-12-31,2026-01-14 06:28:02,Completed
OnionLife Private Limited,,Portfolio 9,0.01,2025-12-31,2026-01-14 06:28:02,Completed
PhonePe Lending Services Private Limited,1,Portfolio 1,363.8,2025-12-31,2026-01-14 06:28:11,Completed
PhonePe Lending Services Private Limited,2,Portfolio 2,613.0,2025-12-31,2026-01-14 06:28:11,Completed
PhonePe Lending Services Private Limited,3,Portfolio 3,55.7,2025-12-31,2026-01-14 06:28:11,Completed
SaveIN Fintech Pvt Ltd,,Cohort 1,50.0,2025-12-31,2026-01-14 06:28:18,Completed
SaveIN Fintech Pvt Ltd,,Cohort 2,30.0,2025-12-31,2026-01-14 06:28:18,Completed
SaveIN Fintech Pvt Ltd,,Cohort 3,50.0,2025-12-31,2026-01-14 06:28:18,Completed
SaveIN Fintech Pvt Ltd,,Cohort 4,20.0,2025-12-31,2026-01-14 06:28:18,Completed
SaveIN Fintech Pvt Ltd,,Cohort 5,25.0,2025-12-31,2026-01-14 06:28:18,Completed
SaveIN Fintech Pvt Ltd,,Cohort 6,20.0,2025-12-31,2026-01-14 06:28:18,Completed
Si Creva Capital Services Private Limited,1,Portfolio 1,154.63,2025-12-31,2026-01-14 06:28:18,Partial
Si Creva Capital Services Private Limited,,Portfolio 2,52.43,2025-12-31,2026-01-14 06:28:18,Partial
Si Creva Capital Services Private Limited,2,-,,2025-12-31,2026-01-14 06:28:18,Partial
Si Creva Capital Services Private Limited,3,-,,2025-12-31,2026-01-14 06:28:18,Partial
Si Creva Capital Services Private Limited,4,Portfolio 1,1.3,2025-12-31,2026-01-14 06:28:18,Partial
Si Creva Capital Services Private Limited,,Portfolio 2,2.99,2025-12-31,2026-01-14 06:28:18,Partial
Si Creva Capital Services Private Limited,,Portfolio 3,26.44,2025-12-31,2026-01-14 06:28:18,Partial
Si Creva Capital Services Private Limited,,Portfolio 4,21.43,2025-12-31,2026-01-14 06:28:18,Partial
Si Creva Capital Services Private Limited,,Portfolio 5,37.28,2025-12-31,2026-01-14 06:28:18,Partial
Si Creva Capital Services Private Limited,5,Portfolio 1,0.04,2025-12-31,2026-01-14 06:28:18,Partial
Si Creva Capital Services Private Limited,6,Portfolio 1,7.56,2025-12-31,2026-01-14 06:28:18,Partial
Si Creva Capital Services Private Limited,,Portfolio 2,34.9,2025-12-31,2026-01-14 06:28:18,Partial
Smartcoin Financials Private Limited,,Portfolio 1,343.06,2025-12-31,2026-01-14 06:28:19,Completed
Smartcoin Financials Private Limited,,Portfolio 2,221.0,2025-12-31,2026-01-14 06:28:19,Completed
Smartcoin Financials Private Limited,,Portfolio 3,46.16,2025-12-31,2026-01-14 06:28:19,Completed
Smartcoin Financials Private Limited,,Portfolio 4,220.83,2025-12-31,2026-01-14 06:28:19,Completed
True Credits,,Portfolio - 1,1009.2,2025-12-31,2026-01-14 06:28:23,Completed
True Credits,,Portfolio - 2,555.8,2025-12-31,2026-01-14 06:28:23,Completed
True Credits,,Portfolio - 3,390.9,2025-12-31,2026-01-14 06:28:23,Completed
True Credits,,Portfolio - 4,474.8,2025-12-31,2026-01-14 06:28:23,Completed
True Credits,,Portfolio - 5,94.5,2025-12-31,2026-01-14 06:28:23,Completed
True Credits,,Portfolio - 6,36.2,2025-12-31,2026-01-14 06:28:23,Completed
True Credits,,Portfolio - 7,248.0,2025-12-31,2026-01-14 06:28:23,Completed
True Credits,,Portfolio - 8,244.1,2025-12-31,2026-01-14 06:28:23,Completed
Vaibhav Vyapaar Private Limited (VVPL),,Portfolio – 1,11.92,2025-10-31,2026-01-14 06:28:23,Completed
Vaibhav Vyapaar Private Limited (VVPL),,Portfolio – 2,3.75,2025-10-31,2026-01-14 06:28:23,Completed
ADJ Utility Apps Private Limited,,Partner 1,36.63,2025-12-31,2026-01-14 06:29:16,Completed
ADJ Utility Apps Private Limited,,Partner 2,120.94,2025-12-31,2026-01-14 06:29:16,Completed
ADJ Utility Apps Private Limited,,Partner 3,292.27,2025-12-31,2026-01-14 06:29:16,Completed
ADJ Utility Apps Private Limited,,Partner 4,3.93,2025-12-31,2026-01-14 06:29:16,Completed
ADJ Utility Apps Private Limited,,Partner 5,66.63,2025-12-31,2026-01-14 06:29:16,Completed
ADJ Utility Apps Private Limited,,Partner 6,113.09,2025-12-31,2026-01-14 06:29:16,Completed
ADJ Utility Apps Private Limited,,Partner 7,42.31,2025-12-31,2026-01-14 06:29:16,Completed
ADJ Utility Apps Private Limited,,Partner 8,79.15,2025-12-31,2026-01-14 06:29:16,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 1,16.82,2025-12-31,2026-01-14 06:29:17,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 2,179.35,2025-12-31,2026-01-14 06:29:17,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 3,88.56,2025-12-31,2026-01-14 06:29:17,Completed
CRED,A,A1,98.33,2025-12-31,2026-01-14 06:29:22,Completed
CRED,A,A2,71.73,2025-12-31,2026-01-14 06:29:22,Completed
CRED,A,A3,77.09,2025-12-31,2026-01-14 06:29:22,Completed
CRED,A,A4,111.91,2025-12-31,2026-01-14 06:29:22,Completed
CRED,A,A5,203.46,2025-12-31,2026-01-14 06:29:22,Completed
CRED,A,A6,196.54,2025-12-31,2026-01-14 06:29:22,Completed
CRED,A,A7,253.24,2025-12-31,2026-01-14 06:29:22,Completed
CRED,A,A8,346.64,2025-12-31,2026-01-14 06:29:22,Completed
CRED,A,A9,371.83,2025-12-31,2026-01-14 06:29:22,Completed
CRED,A,A10,465.65,2025-12-31,2026-01-14 06:29:22,Completed
CRED,A,A11,736.29,2025-12-31,2026-01-14 06:29:22,Completed
CRED,A,A12,979.55,2025-12-31,2026-01-14 06:29:22,Completed
CRED,B,B1,36.57,2025-12-31,2026-01-14 06:29:22,Completed
CRED,C,C1.1,309.96,2025-12-31,2026-01-14 06:29:22,Completed
CRED,C,C2.1,68.64,2025-12-31,2026-01-14 06:29:22,Completed
CRED,C,C2.2,468.67,2025-12-31,2026-01-14 06:29:22,Completed
Fingel Management Services Pvt. Ltd.,,Portfolio - 1,0.05,2023-06-30,2026-01-14 06:29:22,Completed
Flexi Payment,Portfolio 1,Portfolio 1,19.97,2025-05-31,2026-01-14 06:29:27,Completed
Flexi Payment,Portfolio 2,Portfolio 2,3.96,2025-05-31,2026-01-14 06:29:27,Completed
Flexi Payment,Portfolio 3,Portfolio 3,1.06,2025-05-31,2026-01-14 06:29:27,Completed
Flexi Payment,Portfolio 4,Portfolio 4,0.31,2025-05-31,2026-01-14 06:29:27,Completed
Flexi Payment,Portfolio 5,Portfolio 5,0.21,2025-05-31,2026-01-14 06:29:27,Completed
Flexi Payment,Portfolio 6,Portfolio 6,0.82,2025-05-31,2026-01-14 06:29:27,Completed
Flexi Payment,Portfolio 7,Portfolio 7,0.59,2025-05-31,2026-01-14 06:29:27,Completed
GetVantage Tech Private Limited,,1,0.39,2025-10-31,2026-01-14 06:29:28,Completed
Groww Credit,Portfolio A1,Portfolio A1,13.16,2025-12-31,2026-01-14 06:29:28,Completed
Kissht,1,Portfolio 1,167.87,2025-12-31,2026-01-14 06:29:28,Completed
Kissht,2,Portfolio 1,78.58,2025-12-31,2026-01-14 06:29:28,Completed
Kissht,,Portfolio 2,180.47,2025-12-31,2026-01-14 06:29:28,Completed
Kissht,,Portfolio 3,384.21,2025-12-31,2026-01-14 06:29:28,Completed
Kissht,3,Portfolio 1,137.33,2025-12-31,2026-01-14 06:29:28,Completed
Kissht,,Portfolio 2,379.85,2025-12-31,2026-01-14 06:29:28,Completed
Kissht,4,Portfolio 1,0.37,2025-12-31,2026-01-14 06:29:28,Completed
KrazyBee Services Limited,,Portfolio- 1,1396.76,2025-12-31,2026-01-14 06:29:29,Completed
KrazyBee Services Limited,,Portfolio- 2,5006.15,2025-12-31,2026-01-14 06:29:29,Completed
KrazyBee Services Limited,,Portfolio- 3,1769.54,2025-12-31,2026-01-14 06:29:29,Completed
KrazyBee Services Limited,,Portfolio- 4,3640.28,2025-12-31,2026-01-14 06:29:29,Completed
KrazyBee Services Limited,,Portfolio- 5,1591.03,2025-12-31,2026-01-14 06:29:29,Completed
KrazyBee Services Limited,,Portfolio- 6,1507.95,2025-12-31,2026-01-14 06:29:29,Completed
KrazyBee Services Limited,,Portfolio- 7,967.54,2025-12-31,2026-01-14 06:29:29,Completed
KrazyBee Services Limited,,Portfolio- 8,933.64,2025-12-31,2026-01-14 06:29:29,Completed
KrazyBee Services Limited,,Portfolio- 9,337.13,2025-12-31,2026-01-14 06:29:29,Completed
MyShubhLife,,Portfolio 1,14.9,2024-03-31,2026-01-14 06:29:31,Completed
MyShubhLife,,Portfolio 2,16.96,2024-03-31,2026-01-14 06:29:31,Completed
Navi Finserv,,1,,2025-05-31,2026-01-14 06:29:32,Partial
Navi Finserv,,3,,2025-05-31,2026-01-14 06:29:32,Partial
OkCredit,,1,50.4,2025-01-01,2026-01-14 06:29:32,Completed
OkCredit,,2,34.6,2025-01-01,2026-01-14 06:29:32,Completed
OkCredit,,3,33.2,2025-01-01,2026-01-14 06:29:32,Completed
OkCredit,,4*,4.6,2025-01-01,2026-01-14 06:29:32,Completed
OnEMI Technlology Solutions Limited,1,Portfolio 1,167.87,2025-12-31,2026-01-14 06:29:33,Completed
OnEMI Technlology Solutions Limited,2,Portfolio 1,78.58,2025-12-31,2026-01-14 06:29:33,Completed
OnEMI Technlology Solutions Limited,,Portfolio 2,180.47,2025-12-31,2026-01-14 06:29:33,Completed
OnEMI Technlology Solutions Limited,,Portfolio 3,384.21,2025-12-31,2026-01-14 06:29:33,Completed
OnEMI Technlology Solutions Limited,3,Portfolio 1,137.33,2025-12-31,2026-01-14 06:29:33,Completed
OnEMI Technlology Solutions Limited,,Portfolio 2,379.85,2025-12-31,2026-01-14 06:29:33,Completed
OnEMI Technlology Solutions Limited,4,Portfolio 1,0.37,2025-12-31,2026-01-14 06:29:33,Completed
OnionLife Private Limited,,Portfolio 1,18.28,2025-12-31,2026-01-14 06:29:33,Completed
OnionLife Private Limited,,Portfolio 2,8.08,2025-12-31,2026-01-14 06:29:33,Completed
OnionLife Private Limited,,Portfolio 3,7.88,2025-12-31,2026-01-14 06:29:33,Completed
OnionLife Private Limited,,Portfolio 4,5.54,2025-12-31,2026-01-14 06:29:33,Completed
OnionLife Private Limited,,Portfolio 5,2.31,2025-12-31,2026-01-14 06:29:33,Completed
OnionLife Private Limited,,Portfolio 6,2.23,2025-12-31,2026-01-14 06:29:33,Completed
OnionLife Private Limited,,Portfolio 7,1.84,2025-12-31,2026-01-14 06:29:33,Completed
OnionLife Private Limited,,Portfolio 8,1.67,2025-12-31,2026-01-14 06:29:33,Completed
OnionLife Private Limited,,Portfolio 9,0.01,2025-12-31,2026-01-14 06:29:33,Completed
PhonePe Lending Services Private Limited,1,Portfolio 1,363.8,2025-12-31,2026-01-14 06:29:42,Completed
PhonePe Lending Services Private Limited,2,Portfolio 2,613.0,2025-12-31,2026-01-14 06:29:42,Completed
PhonePe Lending Services Private Limited,3,Portfolio 3,55.7,2025-12-31,2026-01-14 06:29:42,Completed
SaveIN Fintech Pvt Ltd,,Cohort 1,50.0,2025-12-31,2026-01-14 06:29:49,Completed
SaveIN Fintech Pvt Ltd,,Cohort 2,30.0,2025-12-31,2026-01-14 06:29:49,Completed
SaveIN Fintech Pvt Ltd,,Cohort 3,50.0,2025-12-31,2026-01-14 06:29:49,Completed
SaveIN Fintech Pvt Ltd,,Cohort 4,20.0,2025-12-31,2026-01-14 06:29:49,Completed
SaveIN Fintech Pvt Ltd,,Cohort 5,25.0,2025-12-31,2026-01-14 06:29:49,Completed
SaveIN Fintech Pvt Ltd,,Cohort 6,20.0,2025-12-31,2026-01-14 06:29:49,Completed
Si Creva Capital Services Private Limited,1,Portfolio 1,154.63,2025-12-31,2026-01-14 06:29:50,Partial
Si Creva Capital Services Private Limited,,Portfolio 2,52.43,2025-12-31,2026-01-14 06:29:50,Partial
Si Creva Capital Services Private Limited,2,-,,2025-12-31,2026-01-14 06:29:50,Partial
Si Creva Capital Services Private Limited,3,-,,2025-12-31,2026-01-14 06:29:50,Partial
Si Creva Capital Services Private Limited,4,Portfolio 1,1.3,2025-12-31,2026-01-14 06:29:50,Partial
Si Creva Capital Services Private Limited,,Portfolio 2,2.99,2025-12-31,2026-01-14 06:29:50,Partial
Si Creva Capital Services Private Limited,,Portfolio 3,26.44,2025-12-31,2026-01-14 06:29:50,Partial
Si Creva Capital Services Private Limited,,Portfolio 4,21.43,2025-12-31,2026-01-14 06:29:50,Partial
Si Creva Capital Services Private Limited,,Portfolio 5,37.28,2025-12-31,2026-01-14 06:29:50,Partial
Si Creva Capital Services Private Limited,5,Portfolio 1,0.04,2025-12-31,2026-01-14 06:29:50,Partial
Si Creva Capital Services Private Limited,6,Portfolio 1,7.56,2025-12-31,2026-01-14 06:29:50,Partial
Si Creva Capital Services Private Limited,,Portfolio 2,34.9,2025-12-31,2026-01-14 06:29:50,Partial
Smartcoin Financials Private Limited,,Portfolio 1,343.06,2025-12-31,2026-01-14 06:29:50,Completed
Smartcoin Financials Private Limited,,Portfolio 2,221.0,2025-12-31,2026-01-14 06:29:50,Completed
Smartcoin Financials Private Limited,,Portfolio 3,46.16,2025-12-31,2026-01-14 06:29:50,Completed
Smartcoin Financials Private Limited,,Portfolio 4,220.83,2025-12-31,2026-01-14 06:29:50,Completed
True Credits,,Portfolio - 1,1009.2,2025-12-31,2026-01-14 06:29:54,Completed
True Credits,,Portfolio - 2,555.8,2025-12-31,2026-01-14 06:29:54,Completed
True Credits,,Portfolio - 3,390.9,2025-12-31,2026-01-14 06:29:54,Completed
True Credits,,Portfolio - 4,474.8,2025-12-31,2026-01-14 06:29:54,Completed
True Credits,,Portfolio - 5,94.5,2025-12-31,2026-01-14 06:29:54,Completed
True Credits,,Portfolio - 6,36.2,2025-12-31,2026-01-14 06:29:54,Completed
True Credits,,Portfolio - 7,248.0,2025-12-31,2026-01-14 06:29:54,Completed
True Credits,,Portfolio - 8,244.1,2025-12-31,2026-01-14 06:29:54,Completed
Vaibhav Vyapaar Private Limited (VVPL),,Portfolio – 1,11.92,2025-10-31,2026-01-14 06:29:55,Completed
Vaibhav Vyapaar Private Limited (VVPL),,Portfolio – 2,3.75,2025-10-31,2026-01-14 06:29:55,Completed
ADJ Utility Apps Private Limited,,Partner 1,36.63,2025-12-31,2026-01-14 06:30:09,Completed
ADJ Utility Apps Private Limited,,Partner 2,120.94,2025-12-31,2026-01-14 06:30:09,Completed
ADJ Utility Apps Private Limited,,Partner 3,292.27,2025-12-31,2026-01-14 06:30:09,Completed
ADJ Utility Apps Private Limited,,Partner 4,3.93,2025-12-31,2026-01-14 06:30:09,Completed
ADJ Utility Apps Private Limited,,Partner 5,66.63,2025-12-31,2026-01-14 06:30:09,Completed
ADJ Utility Apps Private Limited,,Partner 6,113.09,2025-12-31,2026-01-14 06:30:09,Completed
ADJ Utility Apps Private Limited,,Partner 7,42.31,2025-12-31,2026-01-14 06:30:09,Completed
ADJ Utility Apps Private Limited,,Partner 8,79.15,2025-12-31,2026-01-14 06:30:09,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 1,16.82,2025-12-31,2026-01-14 06:30:10,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 2,179.35,2025-12-31,2026-01-14 06:30:10,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 3,88.56,2025-12-31,2026-01-14 06:30:10,Completed
CRED,A,A1,98.33,2025-12-31,2026-01-14 06:30:15,Completed
CRED,A,A2,71.73,2025-12-31,2026-01-14 06:30:15,Completed
CRED,A,A3,77.09,2025-12-31,2026-01-14 06:30:15,Completed
CRED,A,A4,111.91,2025-12-31,2026-01-14 06:30:15,Completed
CRED,A,A5,203.46,2025-12-31,2026-01-14 06:30:15,Completed
CRED,A,A6,196.54,2025-12-31,2026-01-14 06:30:15,Completed
CRED,A,A7,253.24,2025-12-31,2026-01-14 06:30:15,Completed
CRED,A,A8,346.64,2025-12-31,2026-01-14 06:30:15,Completed
CRED,A,A9,371.83,2025-12-31,2026-01-14 06:30:15,Completed
CRED,A,A10,465.65,2025-12-31,2026-01-14 06:30:15,Completed
CRED,A,A11,736.29,2025-12-31,2026-01-14 06:30:15,Completed
CRED,A,A12,979.55,2025-12-31,2026-01-14 06:30:15,Completed
CRED,B,B1,36.57,2025-12-31,2026-01-14 06:30:15,Completed
CRED,C,C1.1,309.96,2025-12-31,2026-01-14 06:30:15,Completed
CRED,C,C2.1,68.64,2025-12-31,2026-01-14 06:30:15,Completed
CRED,C,C2.2,468.67,2025-12-31,2026-01-14 06:30:15,Completed
Fingel Management Services Pvt. Ltd.,,Portfolio - 1,0.05,2023-06-30,2026-01-14 06:30:15,Completed
Flexi Payment,Portfolio 1,Portfolio 1,19.97,2025-05-31,2026-01-14 06:30:19,Completed
Flexi Payment,Portfolio 2,Portfolio 2,3.96,2025-05-31,2026-01-14 06:30:19,Completed
Flexi Payment,Portfolio 3,Portfolio 3,1.06,2025-05-31,2026-01-14 06:30:19,Completed
Flexi Payment,Portfolio 4,Portfolio 4,0.31,2025-05-31,2026-01-14 06:30:19,Completed
Flexi Payment,Portfolio 5,Portfolio 5,0.21,2025-05-31,2026-01-14 06:30:19,Completed
Flexi Payment,Portfolio 6,Portfolio 6,0.82,2025-05-31,2026-01-14 06:30:19,Completed
Flexi Payment,Portfolio 7,Portfolio 7,0.59,2025-05-31,2026-01-14 06:30:19,Completed
GetVantage Tech Private Limited,,1,0.39,2025-10-31,2026-01-14 06:30:20,Completed
Groww Credit,Portfolio A1,Portfolio A1,13.16,2025-12-31,2026-01-14 06:30:20,Completed
Kissht,1,Portfolio 1,167.87,2025-12-31,2026-01-14 06:30:20,Completed
Kissht,2,Portfolio 1,78.58,2025-12-31,2026-01-14 06:30:20,Completed
Kissht,,Portfolio 2,180.47,2025-12-31,2026-01-14 06:30:20,Completed
Kissht,,Portfolio 3,384.21,2025-12-31,2026-01-14 06:30:20,Completed
Kissht,3,Portfolio 1,137.33,2025-12-31,2026-01-14 06:30:20,Completed
Kissht,,Portfolio 2,379.85,2025-12-31,2026-01-14 06:30:20,Completed
Kissht,4,Portfolio 1,0.37,2025-12-31,2026-01-14 06:30:20,Completed
KrazyBee Services Limited,,Portfolio- 1,1396.76,2025-12-31,2026-01-14 06:30:22,Completed
KrazyBee Services Limited,,Portfolio- 2,5006.15,2025-12-31,2026-01-14 06:30:22,Completed
KrazyBee Services Limited,,Portfolio- 3,1769.54,2025-12-31,2026-01-14 06:30:22,Completed
KrazyBee Services Limited,,Portfolio- 4,3640.28,2025-12-31,2026-01-14 06:30:22,Completed
KrazyBee Services Limited,,Portfolio- 5,1591.03,2025-12-31,2026-01-14 06:30:22,Completed
KrazyBee Services Limited,,Portfolio- 6,1507.95,2025-12-31,2026-01-14 06:30:22,Completed
KrazyBee Services Limited,,Portfolio- 7,967.54,2025-12-31,2026-01-14 06:30:22,Completed
KrazyBee Services Limited,,Portfolio- 8,933.64,2025-12-31,2026-01-14 06:30:22,Completed
KrazyBee Services Limited,,Portfolio- 9,337.13,2025-12-31,2026-01-14 06:30:22,Completed
MyShubhLife,,Portfolio 1,14.9,2024-03-31,2026-01-14 06:30:23,Completed
MyShubhLife,,Portfolio 2,16.96,2024-03-31,2026-01-14 06:30:23,Completed
Navi Finserv,,1,,2025-05-31,2026-01-14 06:30:24,Partial
Navi Finserv,,3,,2025-05-31,2026-01-14 06:30:24,Partial
OkCredit,,1,50.4,2025-01-01,2026-01-14 06:30:25,Completed
OkCredit,,2,34.6,2025-01-01,2026-01-14 06:30:25,Completed
OkCredit,,3,33.2,2025-01-01,2026-01-14 06:30:25,Completed
OkCredit,,4*,4.6,2025-01-01,2026-01-14 06:30:25,Completed
OnEMI Technlology Solutions Limited,1,Portfolio 1,167.87,2025-12-31,2026-01-14 06:30:25,Completed
OnEMI Technlology Solutions Limited,2,Portfolio 1,78.58,2025-12-31,2026-01-14 06:30:25,Completed
OnEMI Technlology Solutions Limited,,Portfolio 2,180.47,2025-12-31,2026-01-14 06:30:25,Completed
OnEMI Technlology Solutions Limited,,Portfolio 3,384.21,2025-12-31,2026-01-14 06:30:25,Completed
OnEMI Technlology Solutions Limited,3,Portfolio 1,137.33,2025-12-31,2026-01-14 06:30:25,Completed
